概念A,概念B,,vote1,vote2,vote3,,1,0,N
数一数（准备课）,比多少（准备课）,1,1,1,1,,3,0,0
1~5的认识,比多少（1~5的认识和加减法）,1,1,1,1,,3,0,0
1~5的认识,加法（1~5的认识和加减法）,1,1,1,1,,3,0,0
1~5的认识,减法（1~5的认识和加减法）,1,1,1,1,,3,0,0
加法（1~5的认识和加减法）,减法（1~5的认识和加减法）, 2/3,0,1,1,,2,1,0
6和7,连加连减（6~10 的认识和加减法）,1,1,1,1,,3,0,0
8和9,连加连减（6~10 的认识和加减法）, 2/3,0,1,1,,2,1,0
10,连加连减（6~10 的认识和加减法）,1,1,1,1,,3,0,0
6和7,加减混合（6~10 的认识和加减法）,1,1,1,1,,3,0,0
8和9,加减混合（6~10 的认识和加减法）,1,1,1,1,,3,0,0
10,加减混合（6~10 的认识和加减法）,1,1,1,1,,3,0,0
1~5的认识,11~20各数的认识, 2/3,N,1,1,,2,0,1
6和7,11~20各数的认识, 2/3,0,1,1,,2,1,0
8和9,11~20各数的认识, 2/3,0,1,1,,2,1,0
10,11~20各数的认识, 2/3,0,1,1,,2,1,0
1~5的认识,9加几,1,1,1,1,,3,0,0
6和7,9加几, 2/3,0,1,1,,2,1,0
8和9,9加几, 2/3,0,1,1,,2,1,0
1~5的认识,8、7、6加几,1,1,1,1,,3,0,0
6和7,8、7、6加几, 2/3,0,1,1,,2,1,0
1~5的认识,5、4、3、2加几,1,1,1,1,,3,0,0
