概念A,概念B,,vote1,vote2,vote3,,1,0,N
乘法的初步认识,用2~6的乘法口诀求商,1,1,1,1,,3,0,0
5的乘法口诀,用2~6的乘法口诀求商,1,1,1,1,,3,0,0
2、3、4的乘法口诀,用2~6的乘法口诀求商,1,1,1,1,,3,0,0
6的乘法口诀,用2~6的乘法口诀求商,1,1,1,1,,3,0,0
不进位加,整百、整千数加减法,1,1,1,1,,3,0,0
进位加,整百、整千数加减法, 2/3,0,1,1,,2,1,0
不退位减法,整百、整千数加减法,1,1,1,1,,3,0,0
退位减法,整百、整千数加减法, 2/3,0,1,1,,2,1,0
连加、连减和加减混合,整百、整千数加减法,1,1,1,1,,3,0,0
平均分,除法（表内除法（一））, 2/3,0,1,1,,2,1,0
平均分,表内除法（二）, 2/3,0,1,1,,2,1,0
除法（表内除法（一））,表内除法（二）,1,1,1,1,,3,0,0
平均分,有余数的除法, 2/3,0,1,1,,2,1,0
除法（表内除法（一））,有余数的除法,1,1,1,1,,3,0,0
表内除法（二）,有余数的除法, 2/3,0,1,1,,2,1,0
1000以内数的认识,整百、整千数加减法,1,1,1,1,,3,0,0
