概念A,概念B,,vote1,vote2,vote3,,1,0,N
数学广角——集合,统计, 2/3,0,1,1,,2,1,0
口算乘法（多位数乘一位数）,口算乘法（两位数乘两位数）,1,1,1,1,,3,0,0
笔算乘法（多位数乘一位数）,笔算乘法（两位数乘两位数）,1,1,1,1,,3,0,0
口算乘法（多位数乘一位数）,口算除法（除数是一位数的除法）, 2/3,0,1,1,,2,1,0
笔算乘法（多位数乘一位数）,笔算除法（除数是一位数的除法）, 2/3,0,1,1,,2,1,0
四边形,长方形、正方形面积的机算,1,1,1,1,,3,0,0
周长（长方形和正方形）,长方形、正方形面积的机算, 2/3,0,1,1,,2,1,0
几分之一,认识小数, 2/3,0,1,1,,2,1,0
几分之几,认识小数, 2/3,0,1,1,,2,1,0
时、分、秒,时计时法,1,1,1,1,,3,0,0
倍的认识,口算除法（除数是一位数的除法）,1,1,1,1,,3,0,0
倍的认识,笔算除法（除数是一位数的除法）,1,1,1,1,,3,0,0
倍的认识,口算乘法（两位数乘两位数）,1,1,1,1,,3,0,0
倍的认识,笔算乘法（两位数乘两位数）,1,1,1,1,,3,0,0
面积和面积单位,长方形、正方形面积的计算,1,1,1,1,,3,0,0
面积和面积单位,面积单位间的进率,1,1,1,1,,3,0,0
认识小数,简单的小数加、减法,1,1,1,1,,3,0,0
