概念A,概念B,,vote1,vote2,vote3,,1,0,N
口算除法（除数是一位数的除法）,口算除法(除数是两位数的除法),1,1,1,1,,3,0,0
口算除法（除数是一位数的除法）,笔算除法(除数是两位数的除法),1,1,1,1,,3,0,0
笔算除法（除数是一位数的除法）,笔算除法(除数是两位数的除法),1,1,1,1,,3,0,0
统计,条形统计图, 2/3,1,1,N,,2,0,1
口算乘法（两位数乘两位数）,口算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
口算乘法（两位数乘两位数）,笔算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
口算乘法（两位数乘两位数）,三位数乘两位数,1,1,1,1,,3,0,0
笔算乘法（两位数乘两位数）,口算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
笔算乘法（两位数乘两位数）,笔算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
笔算乘法（两位数乘两位数）,三位数乘两位数,1,1,1,1,,3,0,0
面积和面积单位,公顷和平方千米,1,1,1,1,,3,0,0
亿以内数的认识,亿以上数的认识,1,1,1,1,,3,0,0
亿以内数的认识,三位数乘两位数, 2/3,1,1,0,,2,1,0
亿以内数的认识,口算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
亿以内数的认识,笔算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
数的产生,亿以内数的认识,1,1,1,1,,3,0,0
数的产生,十进制计数法,1,1,1,1,,3,0,0
数的产生,亿以上数的认识,1,1,1,1,,3,0,0
数的产生,计算工具的认识, 2/3,1,1,0,,2,1,0
十进制计数法,计算工具的认识, 2/3,1,0,1,,2,1,0
十进制计数法,算盘, 2/3,1,0,1,,2,1,0
十进制计数法,计算器, 2/3,0,1,1,,2,1,0
十进制计数法,口算除法(除数是两位数的除法), 2/3,0,1,1,,2,1,0
十进制计数法,笔算除法(除数是两位数的除法), 2/3,0,1,1,,2,1,0
计算工具的认识,算盘,1,1,1,1,,3,0,0
计算工具的认识,计算器,1,1,1,1,,3,0,0
线段、直线、射线,角,1,1,1,1,,3,0,0
线段、直线、射线,角的度量, 2/3,1,1,0,,2,1,0
线段、直线、射线,角的分类, 2/3,1,1,0,,2,1,0
线段、直线、射线,画角,1,1,1,1,,3,0,0
角,角的度量,1,1,1,1,,3,0,0
角,角的分类,1,1,1,1,,3,0,0
角,画角,1,1,1,1,,3,0,0
角的度量,角的分类,1,1,1,1,,3,0,0
角的度量,画角, 2/3,1,1,0,,2,1,0
三位数乘两位数,口算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
三位数乘两位数,笔算除法(除数是两位数的除法), 2/3,1,1,0,,2,1,0
平行与垂直,平行四边形和梯形,1,1,1,1,,3,0,0
口算除法(除数是两位数的除法),笔算除法(除数是两位数的除法), 2/3,1,1,N,,2,0,1
