概念A,概念B,,vote1,vote2,vote3,,1,0,N
数据收集整理,数学广角——集合, 2/3,N,1,1,,2,0,1
1000以内数的认识,万以内的加法和减法（一）, 2/3,0,1,1,,2,1,0
1000以内数的认识,万以内的加法和减法（二）, 2/3,0,1,1,,2,1,0
10000以内数的认识,万以内的加法和减法（一）,1,1,1,1,,3,0,0
10000以内数的认识,万以内的加法和减法（二）,1,1,1,1,,3,0,0
整百、整千数加减法,万以内的加法和减法（一）,1,1,1,1,,3,0,0
整百、整千数加减法,万以内的加法和减法（二）,1,1,1,1,,3,0,0
用2~6的乘法口诀求商,口算乘法（多位数乘一位数）, 2/3,0,1,1,,2,1,0
用2~6的乘法口诀求商,笔算乘法（多位数乘一位数）, 2/3,0,1,1,,2,1,0
克和千克,吨的认识,1,1,1,1,,3,0,0
除法（表内除法（一））,倍的认识,1,1,1,1,,3,0,0
毫米、分米的认识,千米的认识,1,1,1,1,,3,0,0
倍的认识,口算乘法（多位数乘一位数）,1,1,1,1,,3,0,0
四边形,周长（长方形和正方形）,1,1,1,1,,3,0,0
几分之一,几分之几, 2/3,N,1,1,,2,0,1
几分之一,分数的简单计算, 2/3,0,1,1,,2,1,0
几分之一,分数的简单应用, 2/3,0,1,1,,2,1,0
几分之几,分数的简单计算, 2/3,0,1,1,,2,1,0
几分之几,分数的简单应用, 2/3,0,1,1,,2,1,0
分数的简单计算,分数的简单应用,1,1,1,1,,3,0,0
